  0.159,   0.159,   0.987,   0.983
  0.318,   0.313,   0.950,   0.934
  0.478,   0.460,   0.888,   0.855
  0.637,   0.595,   0.804,   0.751
  0.796,   0.715,   0.699,   0.628
  0.955,   0.817,   0.577,   0.493
  1.115,   0.898,   0.440,   0.355
  1.274,   0.956,   0.293,   0.220
  1.433,   0.991,   0.137,   0.095
  1.592,   1.000,  -0.022,  -0.014
  1.752,   0.984,  -0.180,  -0.101
  1.911,   0.943,  -0.334,  -0.165
  2.070,   0.878,  -0.479,  -0.203
  2.229,   0.791,  -0.612,  -0.217
  2.389,   0.684,  -0.730,  -0.209
  2.548,   0.560,  -0.829,  -0.182
  2.707,   0.421,  -0.907,  -0.141
  2.866,   0.272,  -0.962,  -0.091
  3.025,   0.116,  -0.993,  -0.038
  3.185,  -0.043,  -0.999,   0.014
  3.344,  -0.201,  -0.980,   0.059
  3.503,  -0.354,  -0.935,   0.094
  3.662,  -0.498,  -0.867,   0.118
  3.822,  -0.629,  -0.778,   0.128
  3.981,  -0.744,  -0.668,   0.125
  4.140,  -0.841,  -0.542,   0.110
  4.299,  -0.916,  -0.401,   0.086
  4.459,  -0.968,  -0.251,   0.055
  4.618,  -0.996,  -0.094,   0.020
  4.777,  -0.998,   0.065,  -0.014
  4.936,  -0.975,   0.222,  -0.044
  5.096,  -0.927,   0.374,  -0.068
  5.255,  -0.856,   0.516,  -0.084
  5.414,  -0.764,   0.645,  -0.091
  5.573,  -0.652,   0.758,  -0.089
  5.732,  -0.523,   0.852,  -0.078
  5.892,  -0.382,   0.924,  -0.060
  6.051,  -0.230,   0.973,  -0.037
  6.210,  -0.073,   0.997,  -0.012
  6.369,   0.086,   0.996,   0.013
  6.529,   0.243,   0.970,   0.036
  6.688,   0.394,   0.919,   0.054
  6.847,   0.535,   0.845,   0.066
  7.006,   0.662,   0.750,   0.071
  7.166,   0.772,   0.635,   0.068
  7.325,   0.863,   0.505,   0.059
  7.484,   0.932,   0.362,   0.045
  7.643,   0.978,   0.209,   0.027
  7.803,   0.999,   0.051,   0.007
  7.962,   0.994,  -0.108,  -0.013
  8.121,   0.965,  -0.264,  -0.031
  8.280,   0.911,  -0.413,  -0.045
  8.439,   0.833,  -0.553,  -0.055
  8.599,   0.735,  -0.678,  -0.058
  8.758,   0.618,  -0.786,  -0.055
  8.917,   0.486,  -0.874,  -0.048
  9.076,   0.341,  -0.940,  -0.035
  9.236,   0.188,  -0.982,  -0.020
  9.395,   0.030,  -1.000,  -0.003
  9.554,  -0.129,  -0.992,   0.013
  9.713,  -0.285,  -0.959,   0.028
  9.873,  -0.433,  -0.901,   0.040
 10.032,  -0.570,  -0.821,   0.047
 10.191,  -0.693,  -0.720,   0.049
 10.350,  -0.799,  -0.601,   0.046
 10.510,  -0.884,  -0.467,   0.039
 10.669,  -0.947,  -0.321,   0.028
 10.828,  -0.986,  -0.167,   0.015
 10.987,  -1.000,  -0.008,   0.001
 11.146,  -0.989,   0.150,  -0.013
 11.306,  -0.952,   0.305,  -0.026
 11.465,  -0.892,   0.452,  -0.035
 11.624,  -0.809,   0.588,  -0.041
 11.783,  -0.705,   0.709,  -0.042
 11.943,  -0.584,   0.812,  -0.040
 12.102,  -0.448,   0.894,  -0.033
 12.261,  -0.301,   0.954,  -0.023
 12.420,  -0.145,   0.989,  -0.012
 12.580,   0.013,   1.000,   0.001
 12.739,   0.172,   0.985,   0.013
 12.898,   0.326,   0.945,   0.024
 13.057,   0.471,   0.882,   0.032
 13.217,   0.605,   0.796,   0.036
 13.376,   0.724,   0.690,   0.037
